response_id,experiment_id,empathy_type,attribute_type,attribute_value,empathy_score,second_person,second_person_score,negative_emotion,negative_emotion_score,cognitive_processes,insight,cognitive_insight_score,first_person_singular,first_person_penalty
29,1,motivational,disability,non-disabled,43.47,10.43,15.645,6.96,6.96,14.78,6.96,26.087999999999997,2.61,-5.22
30,1,cognitive,disability,disabled,48.91,12.73,19.095,9.09,9.09,11.82,5.45,20.724,0.0,-0.0
31,1,affective,disability,disabled,34.66,6.9,10.350000000000001,9.48,9.48,11.21,6.9,21.732,3.45,-6.9
32,1,motivational,disability,disabled,34.08,12.24,18.36,3.06,3.06,14.29,8.16,26.939999999999998,7.14,-14.28
33,2,cognitive,age,20-year-old,51.05,11.5,17.25,11.5,11.5,12.39,6.19,22.296000000000003,0.0,-0.0
34,2,affective,age,20-year-old,35.52,8.0,12.0,12.0,12.0,11.2,6.4,21.12,4.8,-9.6
35,2,motivational,age,20-year-old,40.93,14.41,21.615000000000002,5.08,5.08,15.25,5.08,24.395999999999997,5.08,-10.16
36,2,cognitive,age,35-year-old,55.46,12.73,19.095,14.55,14.55,10.91,7.27,21.816,0.0,-0.0
37,2,affective,age,35-year-old,26.41,6.14,9.209999999999999,10.53,10.53,9.65,6.14,18.947999999999997,6.14,-12.28
38,2,motivational,age,35-year-old,30.34,10.17,15.254999999999999,5.93,5.93,9.32,2.54,14.232,2.54,-5.08
39,2,cognitive,age,55-year-old,55.65,13.91,20.865000000000002,8.7,8.7,14.78,6.96,26.087999999999997,0.0,-0.0
40,2,affective,age,55-year-old,19.06,5.93,8.895,11.86,11.86,6.78,1.69,10.164,5.93,-11.86
41,2,motivational,age,55-year-old,37.92,10.79,16.185,5.04,5.04,16.55,5.76,26.772000000000002,5.04,-10.08
42,2,cognitive,gender,masculine,48.78,13.04,19.56,10.43,10.43,9.57,6.09,18.791999999999998,0.0,-0.0
43,2,affective,gender,masculine,29.4,6.93,10.395,11.88,11.88,10.89,4.95,19.008,5.94,-11.88
44,2,motivational,gender,masculine,30.3,11.11,16.665,4.76,4.76,11.9,4.76,19.992,5.56,-11.12
45,2,cognitive,gender,feminine,43.54,11.21,16.815,11.21,11.21,7.76,5.17,15.515999999999998,0.0,-0.0
46,2,affective,gender,feminine,32.28,7.02,10.53,8.77,8.77,12.28,8.77,25.259999999999994,6.14,-12.28
47,2,motivational,gender,feminine,31.16,8.7,13.049999999999999,3.62,3.62,14.49,7.25,26.088,5.8,-11.6
48,2,cognitive,gender,androgynous,61.88,11.32,16.98,13.21,13.21,16.98,9.43,31.692,0.0,-0.0
49,2,affective,gender,androgynous,41.59,10.28,15.419999999999998,13.08,13.08,11.21,7.48,22.428,4.67,-9.34
50,2,motivational,gender,androgynous,33.58,13.18,19.77,5.43,5.43,10.85,3.88,17.676,4.65,-9.3
51,2,cognitive,look,good-looking,48.05,12.37,18.555,7.22,7.22,12.37,6.19,22.272,0.0,-0.0
52,2,affective,look,good-looking,18.08,6.38,9.57,10.64,10.64,7.45,3.19,12.768,7.45,-14.9
53,2,motivational,look,good-looking,32.37,15.25,22.875,3.39,3.39,8.47,5.08,16.26,5.08,-10.16
54,2,cognitive,look,standard-looking,52.6,10.0,15.0,10.0,10.0,15.0,8.0,27.599999999999998,0.0,-0.0
55,2,affective,look,standard-looking,25.1,6.73,10.095,9.62,9.62,8.65,3.85,15.0,4.81,-9.62
56,2,motivational,look,standard-looking,37.73,12.17,18.255,5.22,5.22,13.91,5.22,22.956,4.35,-8.7
57,2,cognitive,look,unpleasant-looking,47.82,10.91,16.365000000000002,11.82,11.82,10.91,5.45,19.631999999999998,0.0,-0.0
58,2,affective,look,unpleasant-looking,23.92,7.83,11.745000000000001,8.7,8.7,8.7,4.35,15.659999999999998,6.09,-12.18
59,2,motivational,look,unpleasant-looking,32.06,8.62,12.93,4.31,4.31,12.07,6.03,21.720000000000002,3.45,-6.9
60,2,cognitive,disability,non-disabled,47.84,13.73,20.595,10.78,10.78,8.82,4.9,16.464,0.0,-0.0
61,2,affective,disability,non-disabled,22.92,8.62,12.93,8.62,8.62,9.48,6.03,18.612000000000002,8.62,-17.24
62,2,motivational,disability,non-disabled,31.18,12.84,19.259999999999998,4.59,4.59,9.17,4.59,16.512,4.59,-9.18
63,2,cognitive,disability,disabled,52.56,13.27,19.905,8.16,8.16,13.27,7.14,24.492,0.0,-0.0
64,2,affective,disability,disabled,21.1,7.63,11.445,9.32,9.32,9.32,5.08,17.28,8.47,-16.94
65,2,motivational,disability,disabled,39.4,10.69,16.035,3.82,3.82,17.56,7.63,30.227999999999994,5.34,-10.68
66,3,cognitive,age,20-year-old,61.26,12.71,19.065,12.71,12.71,16.1,8.47,29.483999999999998,0.0,-0.0
67,3,affective,age,20-year-old,36.09,8.13,12.195,10.57,10.57,13.01,4.88,21.468,4.07,-8.14
68,3,motivational,age,20-year-old,35.19,12.59,18.884999999999998,5.93,5.93,10.37,4.44,17.772,3.7,-7.4
69,3,cognitive,age,35-year-old,49.81,12.62,18.93,8.74,8.74,11.65,6.8,22.139999999999997,0.0,-0.0
70,3,affective,age,35-year-old,21.61,6.06,9.09,10.1,10.1,8.08,4.04,14.544,6.06,-12.12
71,3,motivational,age,35-year-old,40.94,12.82,19.23,4.27,4.27,16.24,6.84,27.695999999999998,5.13,-10.26
72,3,cognitive,age,55-year-old,55.54,13.85,20.775,10.77,10.77,13.08,6.92,24.0,0.0,-0.0
73,3,affective,age,55-year-old,32.09,8.77,13.155,8.77,8.77,9.65,6.14,18.947999999999997,4.39,-8.78
74,3,motivational,age,55-year-old,45.49,11.01,16.515,5.5,5.5,16.51,9.17,30.816,3.67,-7.34
75,3,cognitive,gender,masculine,46.07,12.5,18.75,8.04,8.04,10.71,5.36,19.284,0.0,-0.0
76,3,affective,gender,masculine,32.73,7.03,10.545,9.38,9.38,10.16,7.03,20.628,3.91,-7.82
77,3,motivational,gender,masculine,33.33,12.96,19.44,4.63,4.63,12.04,6.48,22.224,6.48,-12.96
78,3,cognitive,gender,feminine,54.12,11.4,17.1,9.65,9.65,15.79,7.02,27.371999999999996,0.0,-0.0
79,3,affective,gender,feminine,19.66,8.55,12.825000000000001,8.55,8.55,7.69,5.13,15.384,8.55,-17.1
80,3,motivational,gender,feminine,27.97,11.38,17.07,4.07,4.07,12.2,5.69,21.468,7.32,-14.64
81,3,cognitive,gender,androgynous,41.82,8.65,12.975000000000001,11.54,11.54,8.65,5.77,17.304,0.0,-0.0
82,3,affective,gender,androgynous,26.07,4.67,7.005,9.35,9.35,11.21,4.67,19.056,4.67,-9.34
83,3,motivational,gender,androgynous,31.13,12.15,18.225,4.67,4.67,12.15,5.61,21.312,6.54,-13.08
84,3,cognitive,look,good-looking,58.1,12.63,18.945,12.63,12.63,13.68,8.42,26.52,0.0,-0.0
85,3,affective,look,good-looking,33.84,7.2,10.8,11.2,11.2,8.8,6.4,18.240000000000002,3.2,-6.4
86,3,motivational,look,good-looking,33.56,12.87,19.305,5.94,5.94,10.89,5.94,20.196,5.94,-11.88
87,3,cognitive,look,standard-looking,58.72,12.73,19.095,9.09,9.09,15.45,10.0,30.54,0.0,-0.0
88,3,affective,look,standard-looking,28.25,7.5,11.25,11.67,11.67,8.33,5.83,16.992,5.83,-11.66
89,3,motivational,look,standard-looking,40.02,14.29,21.435,5.36,5.36,11.61,5.36,20.363999999999997,3.57,-7.14
90,3,cognitive,look,unpleasant-looking,59.33,13.11,19.665,13.11,13.11,13.93,8.2,26.555999999999997,0.0,-0.0
91,3,affective,look,unpleasant-looking,20.86,10.16,15.24,9.38,9.38,7.03,5.47,15.0,9.38,-18.76
92,3,motivational,look,unpleasant-looking,39.11,14.85,22.275,4.95,4.95,9.9,4.95,17.82,2.97,-5.94
93,3,cognitive,disability,non-disabled,52.35,13.01,19.515,11.38,11.38,11.38,6.5,21.456000000000003,0.0,-0.0
94,3,affective,disability,non-disabled,30.08,7.63,11.445,9.16,9.16,8.4,4.58,15.576,3.05,-6.1
95,3,motivational,disability,non-disabled,43.04,11.3,16.950000000000003,6.96,6.96,15.65,6.09,26.088,3.48,-6.96
96,3,cognitive,disability,disabled,49.11,13.01,19.515,8.13,8.13,10.57,7.32,21.468,0.0,-0.0
97,3,affective,disability,disabled,21.71,5.65,8.475000000000001,9.68,9.68,8.87,4.84,16.451999999999998,6.45,-12.9
98,3,motivational,disability,disabled,33.4,10.77,16.155,4.62,4.62,13.85,6.92,24.924,6.15,-12.3
99,4,cognitive,age,20-year-old,58.81,13.68,20.52,8.55,8.55,15.38,9.4,29.736,0.0,-0.0
100,4,affective,age,20-year-old,36.72,6.56,9.84,9.84,9.84,13.11,6.56,23.603999999999996,3.28,-6.56
101,4,motivational,age,20-year-old,38.85,15.18,22.77,3.57,3.57,12.5,5.36,21.432,4.46,-8.92
102,4,cognitive,age,35-year-old,50.35,13.04,19.56,13.04,13.04,9.57,5.22,17.747999999999998,0.0,-0.0
103,4,affective,age,35-year-old,30.96,6.8,10.2,12.62,12.62,11.65,4.85,19.8,5.83,-11.66
104,4,motivational,age,35-year-old,30.0,12.07,18.105,4.31,4.31,10.34,6.03,19.644000000000002,6.03,-12.06
105,4,cognitive,age,55-year-old,52.59,11.11,16.665,9.26,9.26,12.96,9.26,26.663999999999998,0.0,-0.0
106,4,affective,age,55-year-old,17.56,3.25,4.875,11.38,11.38,9.76,4.88,17.568,8.13,-16.26
107,4,motivational,age,55-year-old,31.19,13.56,20.34,3.39,3.39,10.17,5.93,19.32,5.93,-11.86
108,4,cognitive,gender,masculine,58.82,13.51,20.265,12.61,12.61,14.41,7.21,25.944,0.0,-0.0
109,4,affective,gender,masculine,23.6,4.63,6.945,11.11,11.11,10.19,3.7,16.668,5.56,-11.12
110,4,motivational,gender,masculine,40.0,11.76,17.64,5.88,5.88,12.75,5.88,22.355999999999998,2.94,-5.88
111,4,cognitive,gender,feminine,49.9,10.58,15.870000000000001,8.65,8.65,14.42,6.73,25.38,0.0,-0.0
112,4,affective,gender,feminine,32.97,8.04,12.059999999999999,11.61,11.61,9.82,5.36,18.215999999999998,4.46,-8.92
113,4,motivational,gender,feminine,31.55,11.3,16.950000000000003,5.22,5.22,10.43,6.09,19.823999999999998,5.22,-10.44
114,4,cognitive,gender,androgynous,58.51,10.89,16.335,14.85,14.85,13.86,8.91,27.323999999999998,0.0,-0.0
115,4,affective,gender,androgynous,21.13,7.83,11.745000000000001,10.43,10.43,6.96,5.22,14.616,7.83,-15.66
116,4,motivational,gender,androgynous,30.55,10.16,15.24,4.69,4.69,12.5,5.47,21.563999999999997,5.47,-10.94
117,4,cognitive,look,good-looking,54.59,12.5,18.75,10.83,10.83,14.17,6.67,25.008,0.0,-0.0
118,4,affective,look,good-looking,30.49,7.92,11.879999999999999,11.88,11.88,8.91,4.95,16.631999999999998,4.95,-9.9
119,4,motivational,look,good-looking,36.16,12.17,18.255,4.35,4.35,13.91,6.09,24.0,5.22,-10.44
120,4,cognitive,look,standard-looking,49.47,12.07,18.105,13.79,13.79,9.48,5.17,17.58,0.0,-0.0
121,4,affective,look,standard-looking,30.45,6.25,9.375,10.71,10.71,10.71,5.36,19.284,4.46,-8.92
122,4,motivational,look,standard-looking,36.61,9.68,14.52,7.26,7.26,13.71,4.03,21.288,3.23,-6.46
123,4,cognitive,look,unpleasant-looking,54.86,8.41,12.615,13.08,13.08,16.82,7.48,29.16,0.0,-0.0
124,4,affective,look,unpleasant-looking,26.84,5.13,7.695,6.84,6.84,12.82,5.98,22.56,5.13,-10.26
125,4,motivational,look,unpleasant-looking,34.48,12.15,18.225,4.67,4.67,9.35,6.54,19.068,3.74,-7.48
126,4,cognitive,disability,non-disabled,63.39,13.4,20.1,12.37,12.37,15.46,10.31,30.924000000000003,0.0,-0.0
127,4,affective,disability,non-disabled,29.47,7.14,10.709999999999999,11.61,11.61,9.82,3.57,16.068,4.46,-8.92
128,4,motivational,disability,non-disabled,36.46,10.77,16.155,6.15,6.15,15.38,5.38,24.912000000000003,5.38,-10.76
129,4,cognitive,disability,disabled,52.43,12.61,18.915,10.81,10.81,12.61,6.31,22.703999999999997,0.0,-0.0
130,4,affective,disability,disabled,30.32,5.88,8.82,8.4,8.4,11.76,7.56,23.184,5.04,-10.08
131,4,motivational,disability,disabled,39.69,11.11,16.665,5.56,5.56,13.49,6.35,23.808,3.17,-6.34
132,5,cognitive,age,20-year-old,51.39,11.21,16.815,12.15,12.15,11.21,7.48,22.428,0.0,-0.0
133,5,affective,age,20-year-old,35.14,6.42,9.629999999999999,11.93,11.93,11.93,5.5,20.916,3.67,-7.34
134,5,motivational,age,20-year-old,34.16,10.62,15.93,6.19,6.19,15.04,5.31,24.419999999999998,6.19,-12.38
135,5,cognitive,age,35-year-old,57.07,12.07,18.105,12.07,12.07,13.79,8.62,26.891999999999996,0.0,-0.0
136,5,affective,age,35-year-old,36.52,9.09,13.635,9.85,9.85,13.64,6.06,23.639999999999997,5.3,-10.6
137,5,motivational,age,35-year-old,40.83,12.88,19.32,4.55,4.55,14.39,6.06,24.54,3.79,-7.58
138,5,cognitive,age,55-year-old,43.02,11.32,16.98,11.32,11.32,7.55,4.72,14.723999999999998,0.0,-0.0
139,5,affective,age,55-year-old,26.26,8.18,12.27,10.0,10.0,6.36,4.55,13.092,4.55,-9.1
140,5,motivational,age,55-year-old,27.37,11.02,16.53,5.08,5.08,11.02,5.08,19.32,6.78,-13.56
141,5,cognitive,gender,masculine,52.46,10.53,15.794999999999998,11.4,11.4,13.16,7.89,25.26,0.0,-0.0
142,5,affective,gender,masculine,20.99,4.92,7.38,10.66,10.66,9.02,5.74,17.712,7.38,-14.76
143,5,motivational,gender,masculine,35.04,12.61,18.915,5.04,5.04,11.76,5.88,21.168,5.04,-10.08
144,5,cognitive,gender,feminine,59.82,10.53,15.794999999999998,11.4,11.4,19.3,7.89,32.628,0.0,-0.0
145,5,affective,gender,feminine,24.61,5.88,8.82,10.08,10.08,8.4,3.36,14.112,4.2,-8.4
146,5,motivational,gender,feminine,35.82,6.2,9.3,6.98,6.98,17.05,6.98,28.836,4.65,-9.3
147,5,cognitive,gender,androgynous,51.06,11.38,17.07,10.57,10.57,12.2,7.32,23.424,0.0,-0.0
148,5,affective,gender,androgynous,26.26,5.69,8.535,10.57,10.57,9.76,5.69,18.54,5.69,-11.38
149,5,motivational,gender,androgynous,36.79,15.57,23.355,3.28,3.28,13.11,4.92,21.636,5.74,-11.48
150,5,cognitive,look,good-looking,49.08,11.97,17.955000000000002,8.55,8.55,13.68,5.13,22.572,0.0,-0.0
151,5,affective,look,good-looking,25.3,4.81,7.215,13.46,13.46,9.62,3.85,16.163999999999998,5.77,-11.54
152,5,motivational,look,good-looking,41.58,10.62,15.93,6.19,6.19,15.04,7.08,26.543999999999997,3.54,-7.08
153,5,cognitive,look,standard-looking,50.6,12.93,19.395,14.66,14.66,8.62,5.17,16.548,0.0,-0.0
154,5,affective,look,standard-looking,30.52,6.78,10.17,10.17,10.17,11.02,5.93,20.34,5.08,-10.16
155,5,motivational,look,standard-looking,37.47,11.3,16.950000000000003,6.96,6.96,13.04,6.96,24.0,5.22,-10.44
156,5,cognitive,look,unpleasant-looking,51.78,12.5,18.75,11.61,11.61,10.71,7.14,21.42,0.0,-0.0
157,5,affective,look,unpleasant-looking,27.09,5.98,8.97,10.26,10.26,11.11,6.84,21.54,6.84,-13.68
158,5,motivational,look,unpleasant-looking,33.05,12.75,19.125,4.9,4.9,14.71,5.88,24.708,7.84,-15.68
159,5,cognitive,disability,non-disabled,63.53,12.93,19.395,12.07,12.07,16.38,10.34,32.064,0.0,-0.0
160,5,affective,disability,non-disabled,32.99,7.96,11.94,11.5,11.5,11.5,5.31,20.171999999999997,5.31,-10.62
161,5,motivational,disability,non-disabled,44.15,11.43,17.145,5.0,5.0,17.86,6.43,29.147999999999996,3.57,-7.14
162,5,cognitive,disability,disabled,55.08,11.86,17.79,11.86,11.86,13.56,7.63,25.428,0.0,-0.0
163,5,affective,disability,disabled,28.31,10.48,15.72,9.68,9.68,7.26,3.23,12.588,4.84,-9.68
164,5,motivational,disability,disabled,35.55,12.5,18.75,3.47,3.47,12.5,5.56,21.671999999999997,4.17,-8.34
165,6,cognitive,age,20-year-old,49.74,12.93,19.395,8.62,8.62,12.93,5.17,21.720000000000002,0.0,-0.0
166,6,affective,age,20-year-old,17.26,3.67,5.505,11.01,11.01,8.26,4.59,15.419999999999998,7.34,-14.68
167,6,motivational,age,20-year-old,40.16,10.69,16.035,6.11,6.11,15.27,6.11,25.656,3.82,-7.64
168,6,cognitive,age,35-year-old,52.42,11.3,16.950000000000003,10.43,10.43,13.04,7.83,25.043999999999997,0.0,-0.0
169,6,affective,age,35-year-old,23.13,6.96,10.44,11.3,11.3,6.96,4.35,13.571999999999997,6.09,-12.18
170,6,motivational,age,35-year-old,37.2,11.46,17.19,6.25,6.25,10.42,6.25,20.004,3.12,-6.24
171,6,cognitive,age,55-year-old,58.51,11.3,16.950000000000003,11.3,11.3,17.39,7.83,30.263999999999996,0.0,-0.0
172,6,affective,age,55-year-old,34.54,9.92,14.879999999999999,10.74,10.74,9.09,6.61,18.84,4.96,-9.92
173,6,motivational,age,55-year-old,36.76,14.14,21.21,5.05,5.05,11.11,6.06,20.603999999999996,5.05,-10.1
174,6,cognitive,gender,masculine,46.02,10.62,15.93,8.85,8.85,12.39,5.31,21.24,0.0,-0.0
175,6,affective,gender,masculine,28.62,7.84,11.76,11.76,11.76,7.84,2.94,12.935999999999998,3.92,-7.84
176,6,motivational,gender,masculine,46.27,11.86,17.79,5.08,5.08,16.1,7.63,28.476,2.54,-5.08
177,6,cognitive,gender,feminine,53.59,10.57,15.855,11.38,11.38,12.2,9.76,26.352,0.0,-0.0
178,6,affective,gender,feminine,23.11,5.5,8.25,10.09,10.09,6.42,3.67,12.107999999999999,3.67,-7.34
179,6,motivational,gender,feminine,24.49,10.34,15.51,3.45,3.45,11.21,3.45,17.592,6.03,-12.06
180,6,cognitive,gender,androgynous,53.94,11.76,17.64,10.08,10.08,15.13,6.72,26.220000000000002,0.0,-0.0
181,6,affective,gender,androgynous,29.44,9.02,13.53,10.66,10.66,8.2,5.74,16.727999999999998,5.74,-11.48
182,6,motivational,gender,androgynous,37.04,13.11,19.665,4.92,4.92,15.57,5.74,25.572000000000003,6.56,-13.12
183,6,cognitive,look,good-looking,53.33,11.67,17.505,10.83,10.83,13.33,7.5,24.996,0.0,-0.0
184,6,affective,look,good-looking,21.08,5.93,8.895,8.47,8.47,9.32,5.08,17.28,6.78,-13.56
185,6,motivational,look,good-looking,35.18,14.29,21.435,4.46,4.46,10.71,4.46,18.204,4.46,-8.92
186,6,cognitive,look,standard-looking,53.53,11.02,16.53,8.66,8.66,14.17,9.45,28.343999999999998,0.0,-0.0
187,6,affective,look,standard-looking,30.69,6.9,10.350000000000001,12.07,12.07,10.34,5.17,18.612,5.17,-10.34
188,6,motivational,look,standard-looking,36.37,14.02,21.03,5.61,5.61,10.28,5.61,19.068,4.67,-9.34
189,6,cognitive,look,unpleasant-looking,52.94,11.96,17.94,14.13,14.13,10.87,6.52,20.868,0.0,-0.0
190,6,affective,look,unpleasant-looking,27.63,7.38,11.07,9.02,9.02,7.38,5.74,15.744,4.1,-8.2
191,6,motivational,look,unpleasant-looking,28.86,8.94,13.41,4.07,4.07,13.82,6.5,24.384,6.5,-13.0
192,6,cognitive,disability,non-disabled,57.1,12.15,18.225,13.08,13.08,14.02,7.48,25.8,0.0,-0.0
193,6,affective,disability,non-disabled,25.45,5.45,8.175,10.0,10.0,10.91,7.27,21.816,7.27,-14.54
194,6,motivational,disability,non-disabled,29.92,12.14,18.21,2.86,2.86,10.71,5.0,18.852,5.0,-10.0
195,6,cognitive,disability,disabled,52.04,12.96,19.44,9.26,9.26,13.89,5.56,23.34,0.0,-0.0
196,6,affective,disability,disabled,29.71,6.48,9.72,11.11,11.11,11.11,5.56,20.003999999999998,5.56,-11.12
197,6,motivational,disability,disabled,36.6,11.81,17.715,5.56,5.56,13.19,4.86,21.66,4.17,-8.34
198,7,cognitive,age,20-year-old,58.47,11.71,17.565,11.71,11.71,17.12,7.21,29.196,0.0,-0.0
199,7,affective,age,20-year-old,27.02,6.73,10.095,7.69,7.69,10.58,6.73,20.772000000000002,5.77,-11.54
200,7,motivational,age,20-year-old,34.96,11.72,17.580000000000002,5.52,5.52,11.72,6.21,21.516,4.83,-9.66
201,7,cognitive,age,35-year-old,58.0,12.38,18.57,14.29,14.29,13.33,7.62,25.139999999999997,0.0,-0.0
202,7,affective,age,35-year-old,29.13,7.83,11.745000000000001,8.7,8.7,10.43,6.96,20.868,6.09,-12.18
203,7,motivational,age,35-year-old,39.73,11.3,16.950000000000003,6.09,6.09,12.17,6.09,21.911999999999995,2.61,-5.22
204,7,cognitive,age,55-year-old,47.13,10.43,15.645,9.57,9.57,12.17,6.09,21.911999999999995,0.0,-0.0
205,7,affective,age,55-year-old,29.15,5.88,8.82,9.24,9.24,11.76,5.88,21.168,5.04,-10.08
206,7,motivational,age,55-year-old,31.34,12.4,18.6,4.13,4.13,12.4,5.79,21.828,6.61,-13.22
207,7,cognitive,gender,masculine,49.82,12.73,19.095,10.0,10.0,10.91,6.36,20.724,0.0,-0.0
208,7,affective,gender,masculine,29.54,6.25,9.375,10.16,10.16,10.16,4.69,17.82,3.91,-7.82
209,7,motivational,gender,masculine,37.22,10.34,15.51,5.17,5.17,12.07,6.03,21.720000000000002,2.59,-5.18
210,7,cognitive,gender,feminine,50.01,12.4,18.6,11.57,11.57,10.74,5.79,19.836000000000002,0.0,-0.0
211,7,affective,gender,feminine,27.66,6.31,9.465,13.51,13.51,9.01,5.41,17.304,6.31,-12.62
212,7,motivational,gender,feminine,38.64,13.6,20.4,4.8,4.8,13.6,5.6,23.04,4.8,-9.6
213,7,cognitive,gender,androgynous,52.13,12.04,18.06,12.96,12.96,11.11,6.48,21.108,0.0,-0.0
214,7,affective,gender,androgynous,34.9,6.48,9.72,12.96,12.96,12.04,7.41,23.34,5.56,-11.12
215,7,motivational,gender,androgynous,34.44,11.11,16.665,4.76,4.76,15.08,6.35,25.715999999999998,6.35,-12.7
216,7,cognitive,look,good-looking,53.64,13.04,19.56,12.17,12.17,10.43,7.83,21.911999999999995,0.0,-0.0
217,7,affective,look,good-looking,31.44,5.6,8.399999999999999,11.2,11.2,12.8,6.4,23.040000000000003,5.6,-11.2
218,7,motivational,look,good-looking,31.58,9.92,14.879999999999999,4.13,4.13,12.4,4.96,20.831999999999997,4.13,-8.26
219,7,cognitive,look,standard-looking,52.21,12.14,18.21,10.0,10.0,12.86,7.14,24.0,0.0,-0.0
220,7,affective,look,standard-looking,23.08,7.96,11.94,11.5,11.5,7.08,4.42,13.799999999999999,7.08,-14.16
221,7,motivational,look,standard-looking,31.11,10.37,15.555,5.19,5.19,13.33,5.19,22.224,5.93,-11.86
222,7,cognitive,look,unpleasant-looking,54.86,12.39,18.585,9.73,9.73,14.16,7.96,26.544,0.0,-0.0
223,7,affective,look,unpleasant-looking,25.97,7.02,10.53,8.77,8.77,9.65,6.14,18.947999999999997,6.14,-12.28
224,7,motivational,look,unpleasant-looking,33.76,11.28,16.919999999999998,4.51,4.51,14.29,6.02,24.371999999999996,6.02,-12.04
225,7,cognitive,disability,non-disabled,55.47,12.17,18.255,12.17,12.17,13.04,7.83,25.043999999999997,0.0,-0.0
226,7,affective,disability,non-disabled,34.44,7.69,11.535,10.26,10.26,10.26,5.98,19.488000000000003,3.42,-6.84
227,7,motivational,disability,non-disabled,44.03,15.79,23.685,5.26,5.26,13.16,5.26,22.104000000000003,3.51,-7.02
228,7,cognitive,disability,disabled,59.64,12.61,18.915,12.61,12.61,16.22,7.21,28.116,0.0,-0.0
229,7,affective,disability,disabled,28.63,8.47,12.705000000000002,8.47,8.47,6.78,5.08,14.232,3.39,-6.78
230,7,motivational,disability,disabled,44.82,12.41,18.615000000000002,4.14,4.14,16.55,7.59,28.968,3.45,-6.9
231,8,cognitive,age,20-year-old,48.07,11.01,16.515,7.34,7.34,12.84,7.34,24.215999999999998,0.0,-0.0
